palabra,pista
Elon Musk,cohetes
Jeff Bezos,entregas
Bill Gates,ventanas
Mark Zuckerberg,meta
Steve Jobs,manzana
Barack Obama,discurso
Donald Trump,torre
Joe Biden,presidente
Vladimir Putin,rusia
Volodymyr Zelensky,comedia
Xi Jinping,china
Nayib Bukele,bitcoin
Andrés Manuel López Obrador,mañanera
Justin Trudeau,canadá
Angela Merkel,alemania
Emmanuel Macron,francia
Kim Jong-un,misiles
Pope Francis,vaticano
Nelson Mandela,libertad
Greta Thunberg,clima
Albert Einstein,relatividad
Stephen Hawking,universo
Isaac Newton,gravedad
Nikola Tesla,rayo
Leonardo da Vinci,invento
Pablo Picasso,formas
Frida Kahlo,ceja
Salvador Dalí,sueños
Michael Jackson,luna
Elvis Presley,rey
Freddie Mercury,voz
Charlie Chaplin,bastón
Marilyn Monroe,rubia
Leonardo DiCaprio,oscar
Brad Pitt,hollywood
Tom Cruise,misión
Keanu Reeves,matrix
Robert Downey Jr,armadura
Chris Hemsworth,trueno
Scarlett Johansson,viuda
Jennifer Lawrence,arco
Emma Stone,la la
Margot Robbie,barbie
Ryan Gosling,drive
Dwayne Johnson,roca
Will Smith,bofetada
Johnny Depp,caribe
Morgan Freeman,narrador
Al Pacino,padrino
Robert De Niro,mafia
Quentin Tarantino,violencia
Christopher Nolan,tiempo
Steven Spielberg,dinosaurios
James Cameron,avatar
Tim Burton,gótico
Guillermo del Toro,monstruos
Hayao Miyazaki,animación
Stan Lee,marvel
Hideo Kojima,metal
MrBeast,retos
Ibai Llanos,stream
ElRubius,gameplay
AuronPlay,humor
Vegetta777,cubo
Willyrex,series
Fernanfloo,gritos
Luisito Comunica,viajes
Dross,terror
HolaSoyGerman,sketch
Yuya,maquillaje
Kim Kardashian,realidad
Kylie Jenner,cosméticos
Paris Hilton,celebridad
Logan Paul,polémica
Jake Paul,boxeo
PewDiePie,bro
Casey Neistat,vlog
Marques Brownlee,tech
iShowSpeed,locura
Kai Cenat,stream
Addison Rae,tiktok
Charli DAmelio,baile
Usain Bolt,rayo
Michael Phelps,piscina
LeBron James,rey
Michael Jordan,aire
Kobe Bryant,mamba
Tiger Woods,golf
Roger Federer,elegancia
Rafael Nadal,arcilla
Novak Djokovic,consistencia
Conor McGregor,ufc
Ronda Rousey,armbar
Simone Biles,gimnasia
